Processors,Size,Time1,Time2,Time
128,10000,59.6214,59.5155,59.56845
256,10000,34.8776,34.6143,34.74595
512,10000,24.8449,26.8061,25.8255
1024,10000,16.4157,16.5334,16.47455
2048,10000,16.7222,14.3188,15.5205
256,20000,171.603,171.225,171.414
512,20000,100.774,128.725,114.7495
1024,20000,79.817,77.3459,78.58145
2048,20000,51.7268,59.1112,55.419
4096,20000,49.2004,49.8587,49.52955
512,40000,583.169,577.05,580.1095
1024,40000,396.821,355.688,376.2545
2048,40000,255.138,229.621,242.3795
4096,40000,179.397,172.375,175.886
8192,40000,155.848,158.956,157.402
